names, prices, changes, volumes
Lucid,35.48,+8.46,370.442M
Ford,16.86,+1.35,214.469M
Apple,152.57,+3.72,95.823M
Advanced,121.16,-1.12,55.262M
AT&T,25.55,+0.49,53.032M
FuelCell,7.57,+0.57,52.829M
Ambev,2.9400,+0.2600,52.263M
Facebook,,316.92,+4.70,50.807M
Plug,37.11,+2.70,49.425M
Itaú,4.2100,-0.0200,42.417M
Banco,3.6500,-0.0300,39.874M
Bank,47.78,+0.74,37.21M
Ocugen,,10.48,+0.87,37.431M
Nokia,5.82,+0.06,34.843M
Vale,13.20,-0.27,33.308M
Snap,54.39,+2.37,34.507M
NIO,40.79,+1.48,32.346M
Digital,72.76,+7.87,32.116M
Futu,58.47,-8.55,31.83M
Intel,48.08,+0.19,31.317M
Cadence,28.76,+8.45,23.483M
Petróleo,10.56,+0.07,31.041M
Fisker,15.78,+1.24,30.087M
Merck,86.55,+5.01,28.705M
Wells,51.36,+1.31,26.735M
Lucid,35.48,+8.46,370.442M
Ford,16.86,+1.35,214.469M
Apple,152.57,+3.72,95.823M
Advanced,121.16,-1.12,55.262M
AT&T,25.55,+0.49,53.032M
FuelCell,7.57,+0.57,52.829M
Ambev,2.9400,+0.2600,52.263M
Facebook,,316.92,+4.70,50.807M
Plug,37.11,+2.70,49.425M
Itaú,4.2100,-0.0200,42.417M
Banco,3.6500,-0.0300,39.874M
Bank,47.78,+0.74,37.21M
Ocugen,,10.48,+0.87,37.431M
Nokia,5.82,+0.06,34.843M
Vale,13.20,-0.27,33.308M
Snap,54.39,+2.37,34.507M
NIO,40.79,+1.48,32.346M
Digital,72.76,+7.87,32.116M
Futu,58.47,-8.55,31.83M
Intel,48.08,+0.19,31.317M
Cadence,28.76,+8.45,23.483M
Petróleo,10.56,+0.07,31.041M
Fisker,15.78,+1.24,30.087M
Merck,86.55,+5.01,28.705M
Wells,51.36,+1.31,26.735M
Lucid,35.48,+8.46,370.442M
Ford,16.86,+1.35,214.469M
Apple,152.57,+3.72,95.823M
Advanced,121.16,-1.12,55.262M
AT&T,25.55,+0.49,53.032M
FuelCell,7.57,+0.57,52.829M
Ambev,2.9400,+0.2600,52.263M
Facebook,,316.92,+4.70,50.807M
Plug,37.11,+2.70,49.425M
Itaú,4.2100,-0.0200,42.417M
Banco,3.6500,-0.0300,39.874M
Bank,47.78,+0.74,37.21M
Ocugen,,10.48,+0.87,37.431M
Nokia,5.82,+0.06,34.843M
Vale,13.20,-0.27,33.308M
Snap,54.39,+2.37,34.507M
NIO,40.79,+1.48,32.346M
Digital,72.76,+7.87,32.116M
Futu,58.47,-8.55,31.83M
Intel,48.08,+0.19,31.317M
Cadence,28.76,+8.45,23.483M
Petróleo,10.56,+0.07,31.041M
Fisker,15.78,+1.24,30.087M
Merck,86.55,+5.01,28.705M
Wells,51.36,+1.31,26.735M
Lucid,35.48,+8.46,370.442M
Ford,16.86,+1.35,214.469M
Apple,152.57,+3.72,95.823M
Advanced,121.16,-1.12,55.262M
AT&T,25.55,+0.49,53.032M
FuelCell,7.57,+0.57,52.829M
Ambev,2.9400,+0.2600,52.263M
Facebook,,316.92,+4.70,50.807M
Plug,37.11,+2.70,49.425M
Itaú,4.2100,-0.0200,42.417M
Banco,3.6500,-0.0300,39.874M
Bank,47.78,+0.74,37.21M
Ocugen,,10.48,+0.87,37.431M
Nokia,5.82,+0.06,34.843M
Vale,13.20,-0.27,33.308M
Snap,54.39,+2.37,34.507M
NIO,40.79,+1.48,32.346M
Digital,72.76,+7.87,32.116M
Futu,58.47,-8.55,31.83M
Intel,48.08,+0.19,31.317M
Cadence,28.76,+8.45,23.483M
Petróleo,10.56,+0.07,31.041M
Fisker,15.78,+1.24,30.087M
Merck,86.55,+5.01,28.705M
Wells,51.36,+1.31,26.735M
Lucid,35.48,+8.46,370.442M
Ford,16.86,+1.35,214.469M
Apple,152.57,+3.72,95.823M
Advanced,121.16,-1.12,55.262M
AT&T,25.55,+0.49,53.032M
FuelCell,7.57,+0.57,52.829M
Ambev,2.9400,+0.2600,52.263M
Facebook,,316.92,+4.70,50.807M
Plug,37.11,+2.70,49.425M
Itaú,4.2100,-0.0200,42.417M
Banco,3.6500,-0.0300,39.874M
Bank,47.78,+0.74,37.21M
Ocugen,,10.48,+0.87,37.431M
Nokia,5.82,+0.06,34.843M
